Date,Price,Open,High,Low,Vol.,Change %,
5-Jun-17,2705.00,2524.10,2705.40,2523.90,86.69K,7.17%,
2-Jun-17,2492.60,2412.60,2494.00,2385.60,83.03K,3.31%,
1-Jun-17,2412.60,2303.30,2460.80,2303.30,122.70K,4.75%,
31-May-17,2303.30,2192.60,2330.60,2168.40,117.75K,5.05%,
30-May-17,2192.60,2278.20,2329.30,2147.10,120.96K,-3.76%,
26-May-17,2244.90,2307.00,2616.50,2051.40,191.49K,-2.70%,
25-May-17,2307.20,2445.30,2781.80,2210.50,248.44K,-5.65%,
24-May-17,2445.30,2272.60,2497.00,2263.30,149.26K,7.60%,
23-May-17,2272.60,2124.40,2286.30,2110.80,114.18K,6.97%,
22-May-17,2124.40,2044.20,2264.80,1998.60,174.38K,3.92%,
19-May-17,1962.00,1881.00,1969.70,1875.30,98.76K,4.31%,
18-May-17,1881.00,1801.30,1980.50,1791.10,73.10K,4.42%,
17-May-17,1801.30,1729.30,1842.80,1704.00,94.62K,4.16%,
16-May-17,1729.30,1708.90,1752.60,1653.70,75.54K,1.19%,
15-May-17,1708.90,1772.60,1776.70,1656.80,80.24K,-3.59%,
12-May-17,1686.40,1819.30,1822.50,1641.20,109.34K,-7.31%,
11-May-17,1819.30,1752.30,1864.80,1741.50,109.01K,3.82%,
10-May-17,1752.30,1697.50,1766.20,1665.00,89.68K,3.23%,
9-May-17,1697.50,1664.50,1757.40,1620.00,127.23K,1.98%,
8-May-17,1664.50,1554.40,1667.70,1552.90,107.23K,7.08%,
5-May-17,1507.80,1516.80,1588.10,1485.00,120.38K,-0.59%,
4-May-17,1516.80,1485.60,1609.80,1437.10,136.71K,2.10%,
3-May-17,1485.60,1445.90,1496.40,1424.10,81.72K,2.74%,
2-May-17,1445.90,1415.80,1471.10,1394.80,70.01K,2.13%,
1-May-17,1415.80,1351.90,1448.70,1342.80,100.44K,4.73%,
28-Apr-17,1329.60,1332.90,1356.20,1287.60,77.57K,-0.25%,
27-Apr-17,1332.90,1286.60,1346.80,1285.30,61.77K,3.60%,
26-Apr-17,1286.60,1264.30,1309.20,1263.00,58.91K,1.77%,
25-Apr-17,1264.30,1248.20,1272.60,1244.20,43.89K,1.29%,
24-Apr-17,1248.20,1249.10,1256.40,1234.90,38.54K,-0.08%,
21-Apr-17,1249.60,1238.10,1257.00,1235.60,41.34K,0.93%,
